GHs,PLs,Ces,GTs,Aas,CBMs,Groups
6.625057906,0.509619839,4.926325109,20.55466684,1.358986237,1.698732796,Cyanobacteria
4.291436883,0.158942107,2.225189495,13.66902118,0.635768427,2.384131602,Cyanobacteria
8.128008749,0,3.325094488,18.10329221,3.694549431,4.064004374,Cyanobacteria
3.612852879,0.25806092,2.838670119,13.29013738,1.03224368,1.54836552,Cyanobacteria
5.867938523,0,3.520763114,17.60381557,1.760381557,4.107556966,Cyanobacteria
3.780137645,0.795818452,2.78536458,6.764456838,1.790591516,4.377001483,Flavobacteriaceae
11.22557455,0.841918091,7.015984096,16.55772247,1.122557455,7.015984096,Flavobacteriaceae
7.588057031,0.948507129,5.37487373,15.17611406,1.264676172,8.220395116,Flavobacteriaceae
8.352574882,0.334102995,6.682059905,17.70745875,1.670514976,7.350265896,Flavobacteriaceae
28.21118764,1.968222393,9.513074901,10.9892417,0.984111197,9.349056369,Flavobacteriaceae
5.939927072,0,5.590519597,18.16918869,1.048222424,6.638742021,Flavobacteriaceae
27.9920178,0.559840356,13.9960089,9.237365873,2.519281602,7.277924627,Flavobacteriaceae
14.90143511,1.619721207,10.04227148,10.04227148,1.619721207,6.154940587,Flavobacteriaceae
22.18159048,1.552711333,9.981715715,8.429004382,1.552711333,5.10176581,Flavobacteriaceae
22.38354316,4.304527531,11.47874008,16.07023611,0.573937004,9.469960568,Flavobacteriaceae
35.44440004,3.703146272,10.58041792,11.90297016,1.32255224,11.63845971,Flavobacteriaceae
17.8625594,5.05544134,6.403559031,11.45900037,2.022176536,8.088706144,Flavobacteriaceae
32.30478999,1.187676103,9.738944042,15.20225411,0.950140882,7.126056616,Flavobacteriaceae
14.94424396,0.622676832,5.292753069,11.51952139,2.179368911,7.783460396,Flavobacteriaceae
4.868224762,1.217056191,4.868224762,7.302337143,2.738376429,5.476752858,Flavobacteriaceae
27.53395148,1.732906037,11.16761668,8.08689484,2.310541383,11.93779715,Flavobacteriaceae
36.74984381,4.4609637,6.585232128,14.23259847,0.637280529,14.44502531,Flavobacteriaceae
24.85245525,2.405076314,12.02538157,11.22368947,3.473999121,10.15476666,Flavobacteriaceae
24.65473985,2.411876724,12.05938362,11.25542471,3.483821935,10.4514658,Flavobacteriaceae
31.40673627,0.951719281,8.089613887,9.041333168,2.855157843,9.279262989,Flavobacteriaceae
9.955589022,0.301684516,5.732005801,20.51454708,0,5.732005801,Flavobacteriaceae
21.67238945,2.039754301,4.589447178,9.178894356,0.764907863,6.884170767,Flavobacteriaceae
19.91536765,2.124305883,5.841841178,9.824914709,0.531076471,6.90399412,Flavobacteriaceae
20.24865916,3.656007904,6.749553053,12.93664335,1.687388263,7.312015807,Flavobacteriaceae
14.49079789,1.99248471,7.607668893,13.58512302,1.811349736,7.245398945,Flavobacteriaceae
18.16442298,4.138729286,8.967246786,9.197176191,2.069364643,8.277458572,Flavobacteriaceae
16.48350928,2.06043866,8.991005061,8.429067245,1.498500844,10.4895059,Flavobacteriaceae
20.42209373,2.062837751,6.807364578,12.78959406,1.443986426,15.26499936,Flavobacteriaceae
11.80598009,0.643962551,5.366354588,11.80598009,1.287925101,8.156858974,Flavobacteriaceae
11.49740718,1.512816735,5.446140245,17.54867412,1.512816735,6.353830286,Flavobacteriaceae
58.67938523,6.454732375,25.8189295,26.40572335,7.041526227,15.84343401,Flavobacteriaceae
29.56235884,5.439474027,10.16945144,15.3724266,0.945995483,7.567963863,Flavobacteriaceae
4.120007581,0.95077098,8.240015162,20.91696156,0.31692366,6.655396861,Flavobacteriaceae
21.6888211,0.647427495,7.769129945,16.83311488,1.294854991,8.092843693,Flavobacteriaceae
12.94863019,1.394467867,7.370758726,11.15574294,1.394467867,7.769178117,Flavobacteriaceae
31.86268602,4.952749122,14.36297246,9.410223333,3.301832748,10.40077316,Flavobacteriaceae
13.12009372,1.481300904,8.252962179,12.27363606,1.692915319,7.618118934,Flavobacteriaceae
9.397321575,2.819196473,5.325148893,18.79464315,1.25297621,8.457589418,Flavobacteriaceae
10.21005753,1.047185388,7.06850137,16.49316986,1.047185388,6.283112329,Flavobacteriaceae
18.06893903,0.892293285,8.922932852,8.253712888,2.453806534,7.584492924,Flavobacteriaceae
24.45890607,1.187325537,9.973534514,10.21099962,2.84958129,9.973534514,Flavobacteriaceae
23.33440813,1.212177046,9.091327843,10.60654915,1.818265569,6.36392949,Flavobacteriaceae
22.85163757,0.457032751,10.05472053,9.59768778,1.59961463,6.855491271,Flavobacteriaceae
35.08797921,2.534131832,11.11119342,7.992261931,1.364532525,7.602395495,Flavobacteriaceae
25.36154225,2.917699551,6.284275956,10.99748292,2.24438427,11.89523663,Flavobacteriaceae
35.9914289,2.05665308,7.71244905,11.82575521,2.313734715,4.370387795,Flavobacteriaceae
16.50293885,0.589390673,5.304516059,16.79763419,1.178781346,6.777992742,Flavobacteriaceae
16.05065713,2.203031371,3.776625208,17.62425097,1.888312604,9.441563019,Flavobacteriaceae
16.39348528,1.821498365,7.54620751,21.07733822,1.040856208,8.066635614,Flavobacteriaceae
23.07479789,1.559107966,6.860075049,14.96743647,1.559107966,10.91375576,Flavobacteriaceae
24.48658325,5.048780051,10.3499991,19.4378032,0.757317008,10.3499991,Flavobacteriaceae
9.523402674,3.809361069,5.714041604,17.95841647,1.088388877,7.0745277,Flavobacteriaceae
13.67110066,5.185589906,9.428345283,17.67814741,0.942834528,8.721219387,Flavobacteriaceae
12.19553597,0.32960908,5.603354366,17.79889034,0.988827241,6.921790687,Flavobacteriaceae
16.71806976,0.59707392,7.463423998,18.80782847,1.19414784,8.359034878,Flavobacteriaceae
33.68520488,3.803168293,8.692956098,9.77957561,1.448826016,13.40164065,Flavobacteriaceae
12.24792113,3.652888758,6.876025898,9.2396598,2.363633902,4.297516186,Proteobacteria
3.820413078,1.528165231,6.112660925,17.57390016,2.292247847,0,Proteobacteria
5.634280937,0.704285117,7.39499373,4.577853261,2.46499791,3.873568144,Proteobacteria
7.164757821,1.475097198,4.425291595,6.321845136,2.950194397,2.107281712,Proteobacteria
4.129489489,0.869366208,3.042781728,7.389612769,1.956073968,4.781514145,Proteobacteria
